date,AAPL,AMZN,GOOG,MSFT,NFLX
2025-04-03,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.213562
2025-04-04,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.3214636
2025-04-05,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.21542033333333332
2025-04-06,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.280937
2025-04-07,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.26279584615384616
2025-04-08,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.31514933333333334
2025-04-09,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.011467800000000005
2025-04-10,0.10845283333333333,0.15211335714285715,0.25004369444444446,0.08604766666666668,0.15318875
2025-04-11,0.04655577272727273,0.17977123529411765,0.25004369444444446,0.20768344444444445,0.14760928571428572
2025-04-12,0.1396245,0.15060541666666669,0.2219296,0.08710174999999999,0.264949
2025-04-13,0.14124985714285712,0.23041985714285712,0.1256584285714286,0.21301571428571428,0.23589633333333335
2025-04-14,0.12786866666666666,0.23041985714285712,-0.002936000000000001,0.21301571428571428,0.23589633333333335
